TP53,PTEN,RB1,NKX3-1,AR,ERG,MYC,PIK3CA,AKT1,BRCA2,CDKN1B,FOXA1,SPOP,CHD1,APC,ATM,CDK12,KMT2C,KMT2D,MED12,NCOR1,NF1,NOTCH1,ZBTB16
0.0,0.0,0.35,0.077,1.0,1.0,0.0,0.998,0.011,1.0,0.994,0.001,1.0,0.002,1.0,0.005,0.995,0.0,0.009,0.0,0.0,0.0,0.0,0.021
0.0,0.0,0.361,0.092,1.0,1.0,0.0,0.999,0.018,1.0,0.992,0.003,1.0,0.003,1.0,0.001,0.994,0.0,0.01,0.0,0.0,0.0,0.001,0.02
0.0,0.0,0.385,0.095,1.0,1.0,0.0,0.998,0.018,1.0,0.991,0.004,1.0,0.003,0.999,0.001,0.995,0.0,0.01,0.0,0.0,0.0,0.001,0.026
0.0,0.0,0.41,0.103,1.0,1.0,0.0,0.998,0.021,1.0,0.993,0.003,0.998,0.003,0.999,0.003,0.997,0.0,0.011,0.0,0.0,0.0,0.001,0.03
0.0,0.0,0.44,0.108,1.0,0.999,0.0,0.999,0.02,1.0,0.992,0.001,0.998,0.001,1.0,0.002,0.998,0.0,0.016,0.0,0.0,0.0,0.001,0.026
0.0,0.001,0.449,0.092,1.0,0.999,0.0,1.0,0.013,1.0,0.995,0.002,0.998,0.0,1.0,0.003,0.998,0.0,0.017,0.0,0.0,0.0,0.0,0.029
0.0,0.002,0.438,0.108,1.0,0.999,0.0,1.0,0.008,1.0,0.997,0.004,0.997,0.0,1.0,0.003,0.998,0.0,0.013,0.0,0.0,0.0,0.0,0.03
0.0,0.002,0.473,0.101,0.999,0.998,0.0,0.999,0.009,1.0,0.994,0.006,0.999,0.0,1.0,0.003,0.993,0.0,0.017,0.0,0.0,0.0,0.0,0.021
0.0,0.003,0.493,0.105,0.998,0.997,0.0,1.0,0.008,1.0,0.992,0.005,0.998,0.0,1.0,0.003,0.989,0.0,0.01,0.001,0.0,0.0,0.001,0.024
0.0,0.01,0.523,0.105,0.996,0.997,0.0,1.0,0.006,1.0,0.993,0.004,0.998,0.0,1.0,0.004,0.986,0.0,0.013,0.003,0.0,0.0,0.003,0.023
0.0,0.013,0.529,0.098,0.995,0.996,0.0,1.0,0.005,1.0,0.992,0.003,0.997,0.0,1.0,0.001,0.984,0.0,0.018,0.002,0.0,0.001,0.004,0.019
0.0,0.009,0.527,0.077,0.995,0.995,0.0,0.999,0.001,1.0,0.992,0.003,0.998,0.0,1.0,0.002,0.981,0.0,0.029,0.002,0.0,0.002,0.002,0.023
0.0,0.006,0.53,0.087,0.993,0.993,0.0,0.999,0.002,1.0,0.995,0.003,1.0,0.001,1.0,0.002,0.983,0.0,0.029,0.005,0.001,0.002,0.0,0.026
0.0,0.004,0.539,0.094,0.994,0.994,0.0,1.0,0.001,1.0,0.996,0.001,1.0,0.001,1.0,0.002,0.982,0.0,0.033,0.009,0.002,0.002,0.0,0.027
0.0,0.005,0.548,0.094,0.991,0.992,0.0,1.0,0.001,1.0,0.994,0.002,1.0,0.002,1.0,0.004,0.982,0.0,0.042,0.005,0.002,0.001,0.0,0.035
0.0,0.007,0.526,0.094,0.99,0.992,0.0,1.0,0.003,1.0,0.991,0.0,1.0,0.001,1.0,0.006,0.977,0.0,0.047,0.004,0.001,0.002,0.0,0.032
0.0,0.01,0.536,0.091,0.988,0.995,0.0,0.999,0.002,0.999,0.991,0.0,1.0,0.003,1.0,0.006,0.974,0.0,0.041,0.003,0.0,0.002,0.0,0.032
0.0,0.018,0.513,0.079,0.986,0.995,0.0,0.998,0.002,1.0,0.996,0.0,1.0,0.001,1.0,0.007,0.965,0.0,0.038,0.003,0.0,0.003,0.0,0.034
0.0,0.02,0.529,0.085,0.99,0.994,0.0,0.994,0.001,1.0,0.997,0.0,1.0,0.001,1.0,0.006,0.966,0.0,0.042,0.001,0.0,0.003,0.0,0.034
0.001,0.018,0.504,0.11,0.989,0.992,0.0,0.995,0.003,1.0,0.997,0.0,1.0,0.001,1.0,0.005,0.972,0.0,0.04,0.001,0.0,0.002,0.0,0.035
