M_kg,M_solar,r_s_m,r_s_km,kappa_ms2,T_H_K,S_BH_kB,t_evap_s,t_evap_yr,L_W,A_m2
1.3848863713938745e+24,6.962726854670058e-07,0.0020568776296978216,2.0568776296978215e-06,2.1847560733811253e+19,0.08859215426888445,5.087998873730422e+64,2.2341623685924887e+56,7.07963333267577e+48,1.8570327381598251e-16,5.3165116977969266e-05
2.205130739903041e+24,1.1086630165425042e-06,0.003275130857776042,3.2751308577760416e-06,1.372090487015093e+19,0.055638454826853645,1.289993168981595e+65,9.019352040514749e+56,2.8580601948547255e+49,7.324519778424129e-17,0.00013479294990370998
3.511191734215142e+24,1.7653050448542695e-06,0.00521493451077727,5.21493451077727e-06,8.617128143023036e+18,0.034942571168596885,3.2706028780999557e+65,3.6411279848916655e+57,1.1538038332736538e+50,2.88894152925311e-17,0.00034174925922336177
5.590810182512222e+24,2.8108648479196695e-06,0.008303650489911267,8.303650489911268e-06,5.411807612981684e+18,0.021944953066582402,8.29217041101103e+65,1.46992965157664e+58,4.6579259879605544e+50,1.139458068504128e-17,0.0008664589376754934
8.902150854450357e+24,4.475691731749802e-06,0.013221759797004004,1.3221759797004004e-05,3.398772903666242e+18,0.01378207009355122,2.1023674438026795e+66,5.934131372337664e+58,1.8804127602662e+51,4.494257418269136e-18,0.002196789226065495
1.417474162926796e+25,7.126566932764184e-06,0.02105278062245842,2.1052780622458422e-05,2.1345284379633324e+18,0.008655541685928981,5.330267770295983e+66,2.395619076490618e+59,7.591258766479764e+51,1.772627734180987e-18,0.005569661404502503
2.2570197196339167e+25,1.1347509902634071e-05,0.03352198033712549,3.352198033712549e-05,1.3405460681292882e+18,0.005435932437457913,1.3514171648161806e+67,9.671155556815908e+59,3.064604265475165e+52,6.991609050283822e-19,0.014121121768411493
3.59381366380464e+25,1.806844476523198e-05,0.05337647248952361,5.337647248952361e-05,8.419019999056883e+17,0.0034139239965355964,3.426335096216734e+67,3.9042621893438385e+60,1.2371860310492049e+53,2.7576346781348322e-19,0.035802190746659295
5.72236765935022e+25,2.8770073702112722e-05,0.08499043871431236,8.499043871431237e-05,5.2873899248708525e+17,0.0021440437658515163,8.687008347391519e+67,1.57615738404669e+61,4.994541359440167e+53,1.0876679407214878e-19,0.0907716032254247
9.111627561154869e+25,4.581009331902901e-05,0.13532881316330977,0.00013532881316330976,3.3206349694807174e+17,0.00134652197135954,2.20247325227983e+68,6.362974561660826e+61,2.0163049666834064e+54,4.2899864824497964e-20,0.2301390998784832
1.4508287784959431e+26,7.294262335323998e-05,0.21548174064321074,0.00021548174064321075,2.085455538028519e+17,0.0008456550412971063,5.584072482749213e+68,2.5687438121435984e+62,8.139857949094983e+54,1.6920590678983952e-20,0.5834865025061533
2.310129700083158e+26,0.00011614528406652378,0.3431078679053713,0.00034310786790537126,1.3097268567806395e+17,0.0005310960118602224,1.4157659104517794e+69,1.0370063102536714e+63,3.286074702302049e+55,6.673829628531323e-21,1.4793509611648943
3.678379771828619e+26,0.0001849361373468386,0.5463247543256695,0.0005463247543256695,8.225466369779952e+16,0.00033354377380780684,3.589482621132688e+69,4.186412371767567e+63,1.3265940286230788e+56,2.632295926050797e-21,3.7506939010580083
5.857020818056673e+26,0.0002944706293643375,0.8699035058890673,0.0008699035058890673,5.165832604722423e+16,0.00020947521081222584,9.100646789342679e+69,1.6900618996428056e+64,5.3554829887025805e+56,1.0382317541762504e-21,9.509376144492816
9.32603346883218e+26,0.0004688805162811554,1.3851323842942493,0.0013851323842942493,3.2442934297386676e+16,0.0001315565373740452,2.3073456741862385e+70,6.822809056954421e+64,2.1620177253512374e+57,4.0949999759225788e-22,24.109734636553334
1.4849682622544695e+27,0.0007465903782073753,2.2055224620112654,0.0022055224620112653,2.0375108261586748e+16,8.262133957875599e-05,5.849962297647376e+70,2.754379791503429e+65,8.728102870634741e+57,1.6151523718430726e-22,61.126965156559315
2.364489412645407e+27,0.0011887830128936186,3.51181546658781,0.0035118154665878102,1.2796161804169004e+16,5.188860918693445e-05,1.483178670051888e+71,1.111947875502882e+66,3.523550192355826e+58,6.370493771938588e-23,154.9791370820877
3.764935806792456e+27,0.0018928787364466846,5.591803340836873,0.005591803340836873,8036362546704919.0,3.2587558820538764e-05,3.760398538263346e+71,4.488952764064865e+66,1.4224632938071544e+59,2.512654013689018e-23,392.9286014640495
5.994842503189421e+27,0.0030139982419252996,8.903732243361832,0.008903732243361832,5047069892554797.0,2.0465936677089886e-05,9.53398093709009e+71,1.8121979781554844e+67,5.742508866819671e+59,9.91042518606247e-24,996.2172248172934
9.545484566618328e+27,0.004799137539777943,14.177259647621284,0.014177259647621284,3169706985255131.0,1.2853204696224975e-05,2.4172116754085955e+72,7.315874513807404e+67,2.3182607402994537e+60,3.90887590704714e-24,2525.7737800831906
1.5199110829529269e+28,0.007641584127465696,22.5742065936363,0.022574206593636303,1990668365262011.0,8.072187145384579e-06,6.128512656240923e+72,2.9534311673966885e+68,9.35885861851563e+60,1.5417412038165287e-24,6403.757161823556
2.4201282647943834e+28,0.012167562920032094,35.94452073237429,0.035944520732374294,1250197749788512.8,5.069568784604298e-06,1.5538013389479846e+73,1.1923052594857583e+69,3.7781873763713283e+61,6.080944998177797e-25,16235.85853609442
3.8535285937105194e+28,0.01937420107446214,57.23384187705156,0.05723384187705156,785160622859726.1,3.1838369451740547e-06,3.939452745451914e+73,4.8133569100594046e+69,1.5252607644622545e+62,2.398450010892012e-25,41163.819261535085
6.135907273413188e+28,0.030849207005596724,91.13246161763452,0.09113246161763452,493103754021116.4,1.999542391897223e-06,9.987948616491964e+73,1.9431604917695097e+70,6.15750402999439e+62,9.459981066218489e-26,104365.28579190013
9.770099572992247e+28,0.049120661503228996,145.10865054857652,0.14510865054857652,309683528631516.94,1.2557708971416956e-06,2.5323090289851463e+74,7.844572441496406e+70,2.4857950038964958e+63,3.731211464354469e-26,264604.0399998253
1.5556761439304659e+29,0.07821398410912347,231.05400743344313,0.23105400743344312,194490281454155.47,7.886607218223538e-07,6.420326399848832e+74,3.1668674332631604e+71,1.0035197332063149e+64,1.4716666866750236e-26,670867.6879766001
2.477076355991714e+29,0.12453878109561156,367.90332036877817,0.36790332036877815,122145565013646.14,4.953019181771727e-07,1.6277867593875844e+75,1.2784698483770944e+72,4.051226482296165e+64,5.804556663056107e-27,1700894.1162477084
3.944206059437648e+29,0.19830095824221458,585.806126636259,0.585806126636259,76710974661321.36,3.1106403978521973e-07,4.127032753505924e+75,5.1612048424936006e+72,1.6354871227512867e+65,2.2894367562775263e-27,4312386.550337084
6.2802914418342724e+29,0.31575120371213033,932.769015676713,0.932769015676713,48176727766025.83,1.9535728269254947e-07,1.0463532308690734e+76,2.08358730242991e+73,6.602489740759468e+65,9.030010326809017e-28,10933471.74399901
1e+30,0.5027652086475616,1485.232053823733,1.485232053823733,30256389108455.16,1.226900670594017e-07,2.652886829696342e+76,8.411477899702107e+73,2.665436503315242e+66,3.561622144778495e-28,27720336.055560384
